Field1,Text,Text1,Text2
"Elon Musk
@elonmusk
·
1 de jul
Stop gendering memes … I mean mimes
6 mil
6,8 mil
126,2 mil",@elonmusk,1 de jul,Stop gendering memes … I mean mimes
"Elon Musk
@elonmusk
·
30 de jun
Rapidly Reusable Rockets, R R R 
9 mil
8,7 mil
133,5 mil",@elonmusk,30 de jun,"Rapidly Reusable Rockets, R R R "
"Elon Musk
@elonmusk
·
28 de jun
Thanks for all the happy birthday wishes!
35,8 mil
18,4 mil
372,9 mil",@elonmusk,25 de jun,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!"
"Elon Musk
@elonmusk
·
25 de jun
My Shiba Inu will be named Floki
38,7 mil
44,8 mil
301,5 mil",@elonmusk,25 de jun,My Shiba Inu will be named Floki
"Elon Musk
@elonmusk
·
24 de jun
How many Bitcoin maxis does it take to screw in a lightbulb?
17,6 mil
10,3 mil
100,5 mil
Mostrar esta sequência",@elonmusk,24 de jun,How many Bitcoin maxis does it take to screw in a lightbulb?
"Elon Musk
@elonmusk
·
23 de jun
Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!
9,1 mil
8,2 mil
152,5 mil",@elonmusk,23 de jun,Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!
"Elon Musk
@elonmusk
·
21 de jun
Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software & hardware, both training & inference. Purpose is recruiting.
10 mil
8 mil
117 mil",@elonmusk,21 de jun,"Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software & hardware, both training & inference. Purpose is recruiting."
"Elon Musk
@elonmusk
·
28 de jun
Thanks for all the happy birthday wishes!
35,8 mil
18,4 mil
372,9 mil",@elonmusk,28 de jun,Thanks for all the happy birthday wishes!
"Elon Musk
@elonmusk
·
25 de jun
Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!
10,9 mil
13,7 mil
168,3 mil
Mostrar esta sequência",@elonmusk,25 de jun,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!"
"Elon Musk
@elonmusk
·
20 de jun
Happy Father’s Day!
17,8 mil
17,2 mil
315,5 mil",@elonmusk,20 de jun,Happy Father’s Day!
"Elon Musk
@elonmusk
·
16 de jun
Let’s just skip original video games & movies & go straight to the sequel
14,5 mil
10 mil
144,8 mil",@elonmusk,16 de jun,Let’s just skip original video games & movies & go straight to the sequel
