Field1,Text,Text1,Text2
"Wendy O SpacePunk
@CryptoWendyO
·
29 de set
I really want to buy a lot of the cute NFTs on Solana but i cant hold them like i hold baby yoda :(
32
8
97",I really want to buy a lot of the cute NFTs on Solana but i cant hold them like i hold baby yoda :(,@CryptoWendyO,29 de set
"Wendy O SpacePunk
@CryptoWendyO
·
29 de set
What if $65,000 was the top for Bitcoin?
1,6 mil
226
2,6 mil","What if $65,000 was the top for Bitcoin?",@CryptoWendyO,29 de set
"Wendy O SpacePunk
@CryptoWendyO
·
28 de set
What should we talk about on the show today?
119
4
73",What should we talk about on the show today?,@CryptoWendyO,28 de set
"Wendy O SpacePunk
@CryptoWendyO
·
27 de set
the entire market moved like 1% today 
43
13
248",the entire market moved like 1% today ,@CryptoWendyO,27 de set
"Wendy O SpacePunk
@CryptoWendyO
·
27 de set
what is the best pork rinds topping

i just found out they are keto
114
2
108","what is the best pork rinds topping

i just found out they are keto",@CryptoWendyO,27 de set
"Wendy O SpacePunk
@CryptoWendyO
·
27 de set
GM today has not passed the vibe check and i have only been awake sine 5:35 am pt
29
3
123",GM today has not passed the vibe check and i have only been awake sine 5:35 am pt,@CryptoWendyO,27 de set
"Wendy O SpacePunk
@CryptoWendyO
·
26 de set
We are home 
I picked my nephew up and ran around two with 2 kids 
Might mess around and have another babe
I miss carrying around a little sweetie 
Lo did not appreciate him crying lol
16
1
63","We are home 
I picked my nephew up and ran around two with 2 kids 
Might mess around and have another babe
I miss carrying around a little sweetie 
Lo did not appreciate him crying lol",@CryptoWendyO,26 de set
"Wendy O SpacePunk
@CryptoWendyO
·
26 de set
Me and LO are going to brunch, for the love of this holy day do nothing break things please.
18
2
55","Me and LO are going to brunch, for the love of this holy day do nothing break things please.",@CryptoWendyO,26 de set
"Wendy O SpacePunk
@CryptoWendyO
·
26 de set
I dislike waking up at 3-4am on a daily basis:( GN
53
6
249",I dislike waking up at 3-4am on a daily basis:( GN,@CryptoWendyO,26 de set
"Wendy O SpacePunk
@CryptoWendyO
·
26 de set
Tf you pressed about bitcoin for 

Let her dump to $30k 

Pick up alts super cheap and vibe later
105
29
533","Tf you pressed about bitcoin for 

Let her dump to $30k 

Pick up alts super cheap and vibe later",@CryptoWendyO,26 de set
"Wendy O SpacePunk
@CryptoWendyO
·
25 de set
DMs and 1 text message pass the vibe check 
12
1
66",DMs and 1 text message pass the vibe check ,@CryptoWendyO,25 de set
"Wendy O SpacePunk
@CryptoWendyO
·
25 de set
Saturday night is alright for fighting 
47
6
237",Saturday night is alright for fighting ,@CryptoWendyO,25 de set
"Wendy O SpacePunk
@CryptoWendyO
·
25 de set
Men will literally ruin all your plans for the day because of something involving dirt and cars
106
9
305",Men will literally ruin all your plans for the day because of something involving dirt and cars,@CryptoWendyO,25 de set
"Wendy O SpacePunk
@CryptoWendyO
·
24 de set
Was at Costco and everyone was speeding by this elderly lady and boxing her in 

I get that folks are in a hurry, but this sucks 

Just be patient and give folks space 

I promise that whatever you have going on at Costco isn’t more important they being a decent human being
36
10
270
Mostrar esta sequência","Was at Costco and everyone was speeding by this elderly lady and boxing her in 

I get that folks are in a hurry, but this sucks 

Just be patient and give folks space 

I promise that whatever you have going on at Costco isn’t more important they being a decent human being",@CryptoWendyO,24 de set
"Wendy O SpacePunk
@CryptoWendyO
·
24 de set
its literally nice to see $XTZ do something might mess around and sell my 10 tezos for some depression pizza
24
6
123",its literally nice to see $XTZ do something might mess around and sell my 10 tezos for some depression pizza,@CryptoWendyO,24 de set
"Wendy O SpacePunk
@CryptoWendyO
·
24 de set
NFTs are easier to trade then crypto
160
50
514",NFTs are easier to trade then crypto,@CryptoWendyO,24 de set
"Wendy O SpacePunk
@CryptoWendyO
·
24 de set
#FF

@mysticaloaks
 
 
@megbzk
 
 
@dragonwolftech
 

@rioncrypto

 
@vannta_io


@Enspyre9
 

@Goldsby2RR


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@macklorden


@MacNCheeasy


@CryptoWeathrMan


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e
15
7
34","#FF

@mysticaloaks
 
 
@megbzk
 
 
@dragonwolftech
 

@rioncrypto

 
@vannta_io


@Enspyre9
 

@Goldsby2RR


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@macklorden


@MacNCheeasy


@CryptoWeathrMan


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e",@CryptoWendyO,24 de set
"Wendy O SpacePunk
@CryptoWendyO
·
23 de set
I learned a lot about NFTs today ty
63
8
226",I learned a lot about NFTs today ty,@CryptoWendyO,23 de set
"Wendy O SpacePunk
@CryptoWendyO
·
23 de set
Might mess around and  have my Bitcoin tipping address go straight to charities I support
43
26
377",Might mess around and  have my Bitcoin tipping address go straight to charities I support,@CryptoWendyO,23 de set
"Wendy O SpacePunk
@CryptoWendyO
·
23 de set
being in crypto is fun because when you get on calls you can teach dudes baby signing time and my fav sign is ""potty"" 
6
2
60","being in crypto is fun because when you get on calls you can teach dudes baby signing time and my fav sign is ""potty"" ",@CryptoWendyO,23 de set
"Wendy O SpacePunk
@CryptoWendyO
·
21 de set
My job is dope, I just interviewed a crypto tax attorney and will be adding it to my legal series
36
26
438","My job is dope, I just interviewed a crypto tax attorney and will be adding it to my legal series",@CryptoWendyO,21 de set
"Wendy O SpacePunk
@CryptoWendyO
·
21 de set
Sub $40k bitcoin is a swingers dream 
48
16
358",Sub $40k bitcoin is a swingers dream ,@CryptoWendyO,21 de set
"Wendy O SpacePunk
@CryptoWendyO
·
21 de set
Gary just is protecting his own interested 

The fact that the SEC is going after stablecoins which are  HEAVILY regulated tells you what their interests are and its not protecting you babes
37
38
322","Gary just is protecting his own interested 

The fact that the SEC is going after stablecoins which are  HEAVILY regulated tells you what their interests are and its not protecting you babes",@CryptoWendyO,21 de set
"Wendy O SpacePunk
@CryptoWendyO
·
20 de set
Mom, TikTok is coming for me in the mentions because I told them taking profit is good and that bear markets are real
25
4
126
Mostrar esta sequência","Mom, TikTok is coming for me in the mentions because I told them taking profit is good and that bear markets are real",@CryptoWendyO,20 de set
"Wendy O SpacePunk
@CryptoWendyO
·
20 de set
today is for eating 4745897 bagels and drinking oj in bed
28
4
103",today is for eating 4745897 bagels and drinking oj in bed,@CryptoWendyO,20 de set
"Wendy O SpacePunk
@CryptoWendyO
·
20 de set
I need to hire someone to go through my YouTube mentions and remove the bots, but more importantly create a collage of all the hilariously bad takes and insults
40
8
165","I need to hire someone to go through my YouTube mentions and remove the bots, but more importantly create a collage of all the hilariously bad takes and insults",@CryptoWendyO,20 de set
"Wendy O SpacePunk
@CryptoWendyO
·
18 de set
Hi, it’s Saturday sign off twitter dot and eat some delicious scallops and Swedish fish with your loved ones
18
3
92","Hi, it’s Saturday sign off twitter dot and eat some delicious scallops and Swedish fish with your loved ones",@CryptoWendyO,18 de set
"Wendy O SpacePunk
@CryptoWendyO
·
18 de set
Half the feed is bullish 
Half the feed is bearish 

Take profits on the way up,earn passive income on stables, rinse /repeat and it won’t matter
36
31
300","Half the feed is bullish 
Half the feed is bearish 

Take profits on the way up,earn passive income on stables, rinse /repeat and it won’t matter",@CryptoWendyO,18 de set
"Wendy O SpacePunk
@CryptoWendyO
·
17 de set
So is the market dumping and everyone sold the exact top again ?
101
25
363",So is the market dumping and everyone sold the exact top again ?,@CryptoWendyO,17 de set
"Wendy O SpacePunk
@CryptoWendyO
·
17 de set
#FF 

@WiseAnalyze
 

@mysticaloaks

 
@dragonwolftech
 

@rioncrypto
 

@itzjoshuajake
 
 
@vannta_io


@Enspyre9


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@macklorden


@MacNCheeasy


@CryptoWeathrMan


@Goldsby2RR


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e
 

@LibertyRaider
5
10
37","#FF 

@WiseAnalyze
 

@mysticaloaks

 
@dragonwolftech
 

@rioncrypto
 

@itzjoshuajake
 
 
@vannta_io


@Enspyre9


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@macklorden


@MacNCheeasy


@CryptoWeathrMan


@Goldsby2RR


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e
 

@LibertyRaider",@CryptoWendyO,17 de set
"Wendy O SpacePunk
@CryptoWendyO
·
17 de set
Sleeping in on occasion is healthy for you, especially if its with someone you love
13
10
189","Sleeping in on occasion is healthy for you, especially if its with someone you love",@CryptoWendyO,17 de set
"Wendy O SpacePunk
@CryptoWendyO
·
16 de set
#FreeNikki 

and ofc opt-out with #bitcoin
1
28","#FreeNikki 

and ofc opt-out with #bitcoin",@CryptoWendyO,16 de set
"Wendy O SpacePunk
@CryptoWendyO
·
16 de set
What is the best-centralized pos/exchange/card/service for crypto businesses?

I want to get some options for Wendys Whitepaper as some folks have been asking me 

please share ty!
37
10
61","What is the best-centralized pos/exchange/card/service for crypto businesses?

I want to get some options for Wendys Whitepaper as some folks have been asking me 

please share ty!",@CryptoWendyO,16 de set
"Wendy O SpacePunk
@CryptoWendyO
·
15 de set
im having trouble decided what to order for lunch maybe the SEC can protect me and order for me
101
70
987",im having trouble decided what to order for lunch maybe the SEC can protect me and order for me,@CryptoWendyO,15 de set
"Wendy O SpacePunk
@CryptoWendyO
·
14 de set
i do not want Gary as my daddy, not even my zaddy ty
23
6
136","i do not want Gary as my daddy, not even my zaddy ty",@CryptoWendyO,14 de set
"Wendy O SpacePunk
@CryptoWendyO
·
14 de set
InVeStOr PrOtEcTiOn
21
16
153",InVeStOr PrOtEcTiOn,@CryptoWendyO,14 de set
"Wendy O SpacePunk
@CryptoWendyO
·
14 de set
Gamification is dangerous retail investors 

And climate issues and the SEC 

Lol I don’t even know what is going on
19
3
82","Gamification is dangerous retail investors 

And climate issues and the SEC 

Lol I don’t even know what is going on",@CryptoWendyO,14 de set
"Wendy O SpacePunk
@CryptoWendyO
·
13 de set
Sometimes dudes should wear suits
112
18
363",Sometimes dudes should wear suits,@CryptoWendyO,13 de set
"Wendy O SpacePunk
@CryptoWendyO
·
13 de set
Who did it better?


@litecoin
 $LTC or 
@TheNotoriousMMA
 Conor?
26
1
50","Who did it better?


@litecoin
 $LTC or 
@TheNotoriousMMA
 Conor?",@CryptoWendyO,13 de set
"Wendy O SpacePunk
@CryptoWendyO
·
13 de set
Women will always pick the bad boy 

It’s literally science 
247
35
696","Women will always pick the bad boy 

It’s literally science ",@CryptoWendyO,13 de set
"Wendy O SpacePunk
@CryptoWendyO
·
12 de set
I’m going to get Mexican food rn because it’s Sunday and a holy day
33
5
202",I’m going to get Mexican food rn because it’s Sunday and a holy day,@CryptoWendyO,12 de set
"Wendy O SpacePunk
@CryptoWendyO
·
12 de set
Is today the day for $ADA?
378
115
2,2 mil",Is today the day for $ADA?,@CryptoWendyO,12 de set
"Wendy O SpacePunk
@CryptoWendyO
·
12 de set
Good morning, 

I think you are magnificent 

I also like the idea of pizza for breakfast
60
12
311","Good morning, 

I think you are magnificent 

I also like the idea of pizza for breakfast",@CryptoWendyO,12 de set
"Wendy O SpacePunk
@CryptoWendyO
·
12 de set
I love you all and I’m so sorry for any loss, pain or heartache you may have experienced on this date 

There is no way to fix all the sorrow so I just want you to know you are loved.
28
14
368","I love you all and I’m so sorry for any loss, pain or heartache you may have experienced on this date 

There is no way to fix all the sorrow so I just want you to know you are loved.",@CryptoWendyO,12 de set
"Wendy O SpacePunk
@CryptoWendyO
·
11 de set
I’m going to a business dinner with some folks I came up with over 10 years ago 

Life is pretty crazy and unexpected 

If I told you the stories you wouldn’t believe me 

Moral of the story

Don’t give up no matter the cost
24
7
194","I’m going to a business dinner with some folks I came up with over 10 years ago 

Life is pretty crazy and unexpected 

If I told you the stories you wouldn’t believe me 

Moral of the story

Don’t give up no matter the cost",@CryptoWendyO,11 de set
"Wendy O SpacePunk
@CryptoWendyO
·
11 de set
yo voy costco y target 

tu quieres?
106
6
170","yo voy costco y target 

tu quieres?",@CryptoWendyO,11 de set
"Wendy O SpacePunk
@CryptoWendyO
·
11 de set
Tensions are super high this morning 

Please stop fighting folks 

It makes me so sad
38
11
225
Mostrar esta sequência","Tensions are super high this morning 

Please stop fighting folks 

It makes me so sad",@CryptoWendyO,11 de set
"Wendy O SpacePunk
@CryptoWendyO
·
11 de set
it just hits different when they are proud of you
19
9
181",it just hits different when they are proud of you,@CryptoWendyO,11 de set
