Date,Open,Close,Balance,Rise
2021-10-18,61548.804688,62026.078125,477.27343700000347,1.0
2021-10-17,60887.65234400001,61553.617188,665.9648439999874,1.0
2021-10-16,61609.52734400001,60892.179688,-717.3476560000126,0.0
2021-10-15,57345.90234400001,61593.94921900001,4248.046875,1.0
2021-10-14,57372.83203099999,57321.523438,-51.30859299999429,0.0
2021-10-13,56038.257813,57401.09765599999,1362.8398429999943,1.0
2021-10-12,57526.83203099999,56041.05859400001,-1485.7734369999816,0.0
2021-10-11,54734.125,57484.789063,2750.6640629999965,1.0
2021-10-10,54952.820313,54771.578125,-181.24218799999653,0.0
2021-10-09,53929.78125,54968.22265599999,1038.4414059999908,1.0
2021-10-08,53802.14453099999,53967.84765599999,165.703125,1.0
2021-10-07,55338.625,53805.984375,-1532.640625,0.0
2021-10-06,51486.664063,55361.44921900001,3874.7851560000126,1.0
2021-10-05,49174.960938,51514.8125,2339.8515620000035,1.0
2021-10-04,48208.90625,49112.902344,903.9960940000019,1.0
2021-10-03,47680.027344,48199.953125,519.9257809999981,1.0
2021-10-02,48137.46875,47711.488281,-425.9804690000019,0.0
2021-10-01,43816.742188,48116.941406,4300.199218000002,1.0
2021-09-30,41551.269531,43790.894531,2239.625,1.0
2021-09-29,41064.984375,41564.363281,499.3789059999981,1.0
2021-09-28,42200.898438,41034.542969,-1166.3554689999946,0.0
2021-09-27,43234.183594,42235.730469,-998.453125,0.0
2021-09-26,42721.628906,43208.539063,486.91015699999843,1.0
2021-09-25,42840.890625,42716.59375,-124.296875,0.0
2021-09-24,44894.300781,42839.75,-2054.550780999998,0.0
2021-09-23,43560.296875,44895.097656,1334.800780999998,1.0
2021-09-22,40677.953125,43574.507813,2896.5546879999965,1.0
2021-09-21,43012.234375,40693.675781,-2318.558594000002,0.0
2021-09-20,47261.40625,42843.800781,-4417.605469000002,0.0
2021-09-19,48268.855469,47260.21875,-1008.6367190000019,0.0
2021-09-18,47273.527344,48278.363281,1004.8359369999962,1.0
2021-09-17,47771.003906,47267.519531,-503.484375,0.0
2021-09-16,48158.90625,47783.359375,-375.546875,0.0
2021-09-15,47098.0,48176.347656,1078.347655999998,1.0
2021-09-14,44960.050781,47092.492188,2132.4414069999984,1.0
2021-09-13,46057.214844,44963.074219,-1094.140625,0.0
2021-09-12,45206.628906,46063.269531,856.640625,1.0
2021-09-11,44869.839844,45201.457031,331.6171869999962,1.0
2021-09-10,46396.664063,44883.910156,-1512.7539069999984,0.0
